instance_name,makespan_SPT,makespan_FCFS,makespan_MWKR,makespan_MOR,makespan_random
abz5,1352,1336,1369,1336,1498.0
abz6,1097,1031,987,1031,1089.2
abz7,849,775,769,775,830.2
abz8,929,810,825,810,902.8
abz9,887,899,857,899,890.6
ft06,88,59,61,59,64.6
ft10,1074,1163,1108,1163,1257.8
ft20,1267,1601,1501,1601,1476.6
la01,751,763,735,763,793.2
la02,821,812,817,812,854.6
la03,672,726,696,726,791.4
la04,711,706,758,706,751.4
la05,610,593,593,593,632.0
la06,1200,926,926,926,1093.0
la07,1034,1001,970,1001,1037.0
la08,942,925,957,925,1059.8
la09,1045,951,1015,951,1104.2
la10,1049,958,966,958,1019.8
la11,1473,1222,1268,1222,1318.6
la12,1203,1039,1137,1039,1176.6
la13,1275,1150,1166,1150,1260.6
la14,1427,1292,1292,1292,1319.8
la15,1339,1436,1343,1436,1513.0
la16,1156,1108,1054,1108,1194.6
la17,924,844,846,844,975.0
la18,981,942,970,942,1083.8
la19,940,1088,1013,1088,988.0
la20,1000,1130,964,1130,1148.0
la21,1324,1251,1264,1251,1374.2
la22,1180,1198,1079,1198,1278.4
la23,1162,1268,1185,1268,1319.8
la24,1203,1149,1101,1149,1226.6
la25,1449,1209,1166,1209,1392.0
la26,1498,1411,1435,1411,1554.4
la27,1784,1566,1442,1566,1664.4
la28,1610,1477,1487,1477,1554.0
la29,1556,1437,1337,1437,1636.8
la30,1792,1565,1534,1565,1685.8
la31,1951,1836,1931,1836,1991.6
la32,2165,1984,1875,1984,2230.0
la33,1901,1811,1875,1811,2033.8
la34,2070,1853,1935,1853,2025.2
la35,2118,2064,2118,2064,2279.4
la36,1799,1492,1510,1492,1619.2
la37,1655,1606,1588,1606,1736.2
la38,1404,1455,1421,1455,1712.0
la39,1534,1540,1500,1540,1590.8
la40,1476,1358,1440,1358,1608.6
orb01,1478,1307,1359,1307,1326.8
orb02,1175,1047,1047,1047,1152.4
orb03,1179,1445,1247,1445,1418.8
orb04,1236,1287,1172,1287,1307.0
orb05,1152,1050,1173,1050,1103.0
orb06,1190,1345,1291,1345,1336.8
orb07,504,500,483,500,515.6
orb08,1107,1278,1180,1278,1212.6
orb09,1262,1165,1144,1165,1238.4
orb10,1113,1256,1220,1256,1220.4
swv01,1737,1971,1988,1971,1975.6
swv02,1706,2158,1971,2158,2055.4
swv03,1806,1870,1874,1870,1948.6
swv04,1874,2026,1879,2026,1923.0
swv05,1922,2049,1882,2049,2034.2
swv06,2140,2287,2135,2287,2252.2
swv07,2146,2101,2115,2101,2183.4
swv08,2231,2480,2544,2480,2410.4
swv09,2247,2553,2118,2553,2358.2
swv10,2337,2431,2300,2431,2349.8
swv11,3714,4642,4257,4642,4209.6
swv12,3759,4821,4327,4821,4281.2
swv13,3657,4755,4389,4755,4355.6
swv14,3506,4740,4164,4740,4181.4
swv15,3501,4905,4374,4905,4295.4
swv16,3453,2924,2924,2924,3125.0
swv17,3082,2848,2861,2848,3088.0
swv18,3191,2852,2935,2852,3196.6
swv19,3161,3060,3008,3060,3173.0
swv20,3125,2851,2823,2851,2997.6
ta01,1462,1438,1491,1438,1552.4
ta02,1446,1452,1440,1452,1671.0
ta03,1495,1418,1426,1418,1651.0
ta04,1708,1457,1387,1457,1572.4
ta05,1618,1448,1494,1448,1640.4
ta06,1522,1486,1369,1486,1567.8
ta07,1434,1456,1470,1456,1554.4
ta08,1457,1482,1491,1482,1507.0
ta09,1622,1594,1541,1594,1743.0
ta10,1697,1582,1534,1582,1695.6
ta11,1865,1665,1685,1665,1822.0
ta12,1667,1739,1707,1739,1799.0
ta13,1802,1642,1690,1642,1814.4
ta14,1635,1662,1563,1662,1766.2
ta15,1835,1682,1696,1682,1841.0
ta16,1965,1638,1584,1638,1891.0
ta17,2059,1856,1804,1856,1953.0
ta18,1808,1710,1751,1710,1785.6
ta19,1789,1651,1667,1651,1827.2
ta20,1710,1622,1689,1622,1786.0
ta21,2175,1964,2044,1964,2099.4
ta22,1965,1905,1914,1905,2176.8
ta23,1933,1922,1983,1922,2070.6
ta24,2230,1943,1982,1943,2210.6
ta25,1950,1957,1941,1957,2286.0
ta26,2188,1964,1951,1964,2288.2
ta27,2096,2160,2091,2160,2158.2
ta28,1968,1952,1997,1952,2054.6
ta29,2166,1899,1860,1899,2116.6
ta30,1999,2017,1935,2017,2066.0
ta31,2335,2143,2134,2143,2343.0
ta32,2432,2188,2223,2188,2472.0
ta33,2453,2308,2349,2308,2507.6
ta34,2434,2193,2245,2193,2504.8
ta35,2497,2255,2226,2255,2503.4
ta36,2445,2307,2365,2307,2469.6
ta37,2664,2190,2130,2190,2333.4
ta38,2155,2179,2050,2179,2287.4
ta39,2477,2167,2221,2167,2410.0
ta40,2301,2028,2205,2028,2287.0
ta41,2499,2538,2620,2538,2729.4
ta42,2710,2440,2416,2440,2684.4
ta43,2434,2432,2345,2432,2603.2
ta44,2906,2426,2544,2426,2757.0
ta45,2640,2487,2524,2487,2722.4
ta46,2667,2490,2447,2490,2824.2
ta47,2620,2286,2263,2286,2597.8
ta48,2620,2371,2356,2371,2628.4
ta49,2666,2397,2382,2397,2681.6
ta50,2429,2469,2493,2469,2493.8
ta51,3856,3567,3435,3567,3498.0
ta52,3266,3303,3394,3303,3567.8
ta53,3507,3115,3098,3115,3243.8
ta54,3142,3265,3272,3265,3626.2
ta55,3225,3279,3188,3279,3435.6
ta56,3530,3100,3134,3100,3352.2
ta57,3725,3335,3261,3335,3603.2
ta58,3365,3420,3365,3420,3557.0
ta59,3294,3117,3131,3117,3543.4
ta60,3500,3044,3122,3044,3336.8
ta61,3606,3376,3343,3376,3685.8
ta62,3639,3417,3462,3417,3766.8
ta63,3521,3276,3233,3276,3578.0
ta64,3447,3057,3188,3057,3640.8
ta65,3332,3249,3429,3249,3597.6
ta66,3677,3335,3287,3335,3550.4
ta67,3487,3392,3351,3392,3798.6
ta68,3336,3251,3203,3251,3695.6
ta69,3862,3526,3550,3526,3792.6
ta70,3801,3590,3482,3590,3908.0
ta71,6232,5938,6036,5938,6507.8
ta72,5973,5639,5583,5639,6028.0
ta73,6482,6128,6050,6128,6527.2
ta74,6062,5642,5678,5642,6076.0
ta75,6217,6212,6029,6212,6459.2
ta76,6370,5936,5887,5936,6125.6
ta77,6045,5829,5905,5829,6284.0
ta78,6143,5886,5700,5886,6206.6
ta79,6018,5652,5749,5652,6142.2
ta80,5848,5707,5505,5707,6248.6
yn1,1196,1045,1005,1045,1139.0
yn2,1256,1074,1081,1074,1199.2
yn3,1042,1100,1118,1100,1145.8
yn4,1273,1267,1164,1267,1226.6
