instance_name,makespan_schedulenet,makespan_l2s,makespan_l2d,makespan_schedulenet_mor,makespan_schedulenet_fifo,makespan_schedulenet_spt,makespan_rs,makespan_lee
ta01,1452,1389,1443,1438,1486,1462,1356,1380
ta02,1411,1519,1544,1452,1486,1446,1372,1301
ta03,1396,1457,1440,1418,1461,1495,1467,1344
ta04,1348,1465,1637,1457,1575,1708,1424,1270
ta05,1382,1352,1619,1448,1457,1618,1378,1333
ta06,1413,1481,1601,1486,1528,1522,1382,1328
ta07,1380,1554,1568,1456,1497,1434,1356,1356
ta08,1374,1488,1468,1482,1496,1457,1438,1326
ta09,1523,1556,1627,1594,1642,1622,1497,1389
ta10,1493,1501,1527,1582,1600,1697,1442,1361
ta11,1612,1626,1794,1665,1701,1865,1590,1477
ta12,1600,1668,1805,1739,1670,1667,1574,1533
ta13,1625,1715,1932,1642,1862,1802,1555,1541
ta14,1590,1642,1664,1662,1812,1635,1511,1443
ta15,1676,1672,1730,1682,1788,1835,1557,1523
ta16,1550,1700,1710,1638,1825,1965,1549,1556
ta17,1753,1678,1897,1856,1899,2059,1739,1557
ta18,1668,1684,1794,1710,1833,1808,1705,1594
ta19,1622,1900,1682,1651,1716,1789,1571,1528
ta20,1604,1752,1739,1622,1827,1710,1560,1485
ta21,1921,2199,2252,1964,2089,2175,1910,1882
ta22,1844,2049,2102,1905,2146,1965,1758,1841
ta23,1879,2006,2085,1922,2010,1933,1867,1707
ta24,1922,2020,2200,1943,1989,2230,1912,1853
ta25,1897,1981,2201,1957,2160,1950,1952,1752
ta26,1887,2057,2176,1964,2182,2188,1918,1943
ta27,2009,2187,2132,2160,2091,2096,2015,1919
ta28,1813,2054,2146,1952,1980,1968,1866,1727
ta29,1875,2210,1952,1899,2011,2166,1916,1799
ta30,1913,2140,2035,2017,1941,1999,1804,1787
ta31,2055,2251,2565,2143,2277,2335,2004,1900
ta32,2268,2378,2388,2188,2279,2432,2097,1974
ta33,2281,2316,2324,2308,2481,2453,2059,2016
ta34,2061,2319,2332,2193,2546,2434,2093,2041
ta35,2218,2333,2505,2255,2478,2497,2179,2081
ta36,2154,2210,2497,2307,2433,2445,2102,1971
ta37,2112,2201,2325,2190,2382,2664,1968,2095
ta38,1970,2151,2302,2179,2277,2155,1999,1919
ta39,2146,2138,2410,2167,2255,2477,1978,1934
ta40,2030,2007,2140,2028,2069,2301,1986,2007
ta41,2572,2654,2667,2538,2543,2499,2435,2272
ta42,2397,2579,2664,2440,2669,2710,2253,2168
ta43,2310,2737,2431,2432,2506,2434,2190,2098
ta44,2456,2772,2714,2426,2540,2906,2343,2241
ta45,2445,2435,2637,2487,2565,2640,2337,2226
ta46,2541,2681,2776,2490,2582,2667,2330,2258
ta47,2280,2428,2476,2286,2508,2620,2270,2171
ta48,2358,2440,2490,2371,2541,2620,2279,2227
ta49,2301,2446,2556,2397,2550,2666,2249,2334
ta50,2453,2530,2628,2469,2531,2429,2251,2290
ta51,3382,3145,3599,3567,3590,3856,2989,2978
ta52,3231,3157,3341,3303,3365,3266,2986,2927
ta53,3083,3103,3186,3115,3169,3507,2851,2854
ta54,3068,3278,3266,3265,3218,3142,2913,2863
ta55,3078,3142,3232,3279,3291,3225,2915,2794
ta56,3065,3258,3378,3100,3329,3530,2982,2920
ta57,3266,3230,3471,3335,3654,3725,3126,3018
ta58,3321,3469,3732,3420,3362,3365,3108,2952
ta59,3044,3108,3381,3117,3357,3294,2887,2948
ta60,3036,3256,3352,3044,3129,3500,2861,2828
ta61,3202,3425,3654,3376,3690,3606,3133,3044
ta62,3339,3626,3722,3417,3657,3639,3234,3176
ta63,3118,3110,3536,3276,3367,3521,3130,3103
ta64,2989,3329,3631,3057,3179,3447,2982,2862
ta65,3168,3339,3359,3249,3273,3332,3007,3138
ta66,3199,3340,3555,3335,3610,3677,3153,3146
ta67,3236,3371,3567,3392,3612,3487,3054,3030
ta68,3072,3265,3680,3251,3471,3336,2991,3017
ta69,3535,3798,3592,3526,3607,3862,3305,3367
ta70,3436,3919,3643,3590,3784,3801,3304,3240
ta71,5879,5962,6452,5938,6270,6232,5679,5533
ta72,5456,5522,5695,5639,5671,5973,5297,5430
ta73,6052,6335,6462,6128,6357,6482,5807,5861
ta74,5513,5827,5885,5642,6003,6062,5413,5446
ta75,5992,6042,6355,6212,6420,6217,5623,5546
ta76,5773,5707,6135,5936,6183,6370,5487,5479
ta77,5637,5737,6056,5829,5952,6045,5475,5485
ta78,5833,5979,6101,5886,6328,6143,5426,5466
ta79,5556,5799,5943,5652,6003,6018,5411,5420
ta80,5545,5718,5892,5707,5763,5848,5448,5250
abz5,1336,1353,,1336,1467,1352,,1305
abz6,981,1043,,1031,1045,1097,,980
abz7,791,887,,775,803,849,,711
abz8,787,843,,810,877,929,,734
abz9,832,848,,899,946,887,,768
ft06,59,71,,59,65,88,,58
ft10,1111,1142,,1163,1184,1074,,996
ft20,1498,1338,,1601,1645,1267,,1203
orb01,1276,1336,,1307,1368,1478,,1185
orb02,958,1067,,1047,1007,1175,,985
orb03,1335,1202,,1445,1405,1179,,1077
orb04,1178,1281,,1287,1325,1236,,1077
orb05,1042,1082,,1050,1155,1152,,973
orb06,1222,1178,,1345,1330,1190,,1124
orb07,456,477,,500,475,504,,416
orb08,1178,1156,,1278,1225,1107,,988
orb09,1145,1143,,1165,1189,1262,,1021
orb10,1080,1087,,1256,1303,1113,,1017
yn1,1027,1118,,1045,1113,1196,,987
yn2,1037,1097,,1074,1148,1256,,1013
yn3,1046,1083,,1100,1135,1042,,1019
yn4,1216,1258,,1267,1194,1273,,1138
swv01,1913,1761,,1971,2154,1737,,1585
swv02,1998,1846,,2158,2157,1706,,1606
swv03,1830,1892,,1870,2019,1806,,1463
swv04,1971,1908,,2026,2015,1874,,1745
swv05,1922,1796,,2049,2003,1922,,1620
swv06,2216,2068,,2287,2519,2140,,1928
swv07,2037,2194,,2101,2268,2146,,1781
swv08,2255,2191,,2480,2554,2231,,2031
swv09,2196,2278,,2553,2498,2247,,1857
swv10,2279,2141,,2431,2352,2337,,1909
swv11,4390,3989,,4642,4427,3714,,3150
swv12,4532,4136,,4821,4749,3759,,3201
swv13,4602,4008,,4755,4829,3657,,3356
swv14,4387,3758,,4740,4621,3506,,3154
swv15,4402,3860,,4905,4620,3501,,3246
swv16,2924,2924,,2924,2951,3453,,2925
swv17,2794,2840,,2848,2962,3082,,2809
swv18,2852,2852,,2852,2974,3191,,2856
swv19,2992,2961,,3060,3095,3161,,2860
swv20,2823,2823,,2851,2853,3125,,2824
la01,680,805,,763,772,751,,666
la02,768,687,,812,830,821,,704
la03,734,862,,726,755,672,,660
la04,698,650,,706,695,711,,619
la05,593,593,,593,610,610,,593
la06,926,926,,926,926,1200,,926
la07,1008,931,,1001,1088,1034,,890
la08,863,863,,925,980,942,,863
la09,951,951,,951,1018,1045,,954
la10,958,966,,958,1006,1049,,958
la11,1254,1276,,1222,1272,1473,,1222
la12,1039,1039,,1039,1039,1203,,1039
la13,1150,1150,,1150,1199,1275,,1155
la14,1292,1292,,1292,1292,1427,,1292
la15,1395,1282,,1436,1587,1339,,1207
la16,1047,1134,,1108,1180,1156,,980
la17,888,953,,844,943,924,,799
la18,947,1049,,942,1049,981,,859
la19,963,880,,1088,983,940,,872
la20,989,1042,,1130,1272,1000,,935
la21,1261,1309,,1251,1265,1324,,1160
la22,1027,1158,,1198,1312,1180,,1014
la23,1145,1085,,1268,1354,1162,,1080
la24,1088,1129,,1149,1141,1203,,1058
la25,1117,1308,,1209,1283,1449,,1022
la26,1458,1553,,1411,1372,1498,,1246
la27,1516,1624,,1566,1644,1784,,1303
la28,1357,1438,,1477,1474,1610,,1271
la29,1320,1582,,1437,1540,1556,,1310
la30,1490,1649,,1565,1648,1792,,1399
la31,1906,1817,,1836,1918,1951,,1802
la32,1850,1977,,1984,2110,2165,,1857
la33,1731,1795,,1811,1873,1901,,1752
la34,1784,1895,,1853,1925,2070,,1729
la35,1969,2041,,2064,2142,2118,,1902
la36,1449,1489,,1492,1516,1799,,1357
la37,1653,1623,,1606,1873,1655,,1516
la38,1444,1421,,1455,1475,1404,,1354
la39,1430,1555,,1540,1532,1534,,1445
la40,1357,1570,,1358,1531,1476,,1323